rot ang: -30	lift: -3.9548658456765713	drag: 4.583190975679102
rot ang: -25	lift: -4.3737755119476045	drag: 4.667203522503462
rot ang: -20	lift: -3.4507774437441614	drag: 3.7759365073767293
rot ang: -15	lift: -1.8548758424536835	drag: 2.7372210166584723
rot ang: -10	lift: -0.8728480457474775	drag: 2.3101423601109063
rot ang: -5	lift: -0.46263259699920384	drag: 2.4559995423716945
rot ang: 0		lift: 0.018259048817418362	drag: 2.9295045924906766
rot ang: 5		lift: 0.4672209921226492	drag: 2.4566193740011144
rot ang: 10	lift: 0.8741033562056656	drag: 2.311299470845826
rot ang: 15	lift: 1.8520057794588909	drag: 2.743278183402117
rot ang: 20	lift: 3.450777443744047	drag: 3.7759365073767293
rot ang: 25	lift: 4.395378755963917	drag: 4.659895132374542
rot ang: 30	lift: 3.967354349060578	drag: 4.589772479435307
