"filename","archetype","size","speed","damage","damage_deviation","damage_health_multiplier","damage_armor_multiplier","damage_prop_multiplier","impact_aggro_radius","impact_impulse","penetration","pierce","ignores_shields","impact_morale_damage","flight_suppression","impact_suppression","impact_push","explosion_pyro","explosion_delay"
"b_100mm_chaff.json","EXPLOSIVE_BULLET","0.250000","45","90","10","1","1","1","0","0","12","3","False","0","0","0","0","assets/data/fx/pyros/pyro_exp_100mm_chaff.json","0"
"b_105mm_heat.json","EXPLOSIVE_BULLET","0.100000","120","200","0","1","1","4","0","1000","150","3","False","0","0","0","300","assets/data/fx/pyros/pyro_exp_105mm_hedp.json","0"
"b_120mm_he.json","EXPLOSIVE_BULLET","0.150000","19","130","30","1","1","1","35","1000","50","3","False","0","0","0","100","assets/data/fx/squibs/pyro_radius_large.json","0"
"b_12ga_pellet.json","EXPLOSIVE_BULLET","0.050000","40","40","5","1","1.500000","0.200000","5","600","10","2","False","1","0","0.100000","25","","10"
"b_12ga_pellet_narrow.json","EXPLOSIVE_BULLET","0.050000","40","40","5","1","1.500000","0.200000","5","600","10","2","False","1","0","0.100000","25","","10"
"b_12ga_pellet_short.json","EXPLOSIVE_BULLET","0.050000","40","40","5","1","1.500000","0.200000","5","600","10","2","False","1","0","0","25","","10"
"b_12ga_pellet_split.json","EXPLOSIVE_BULLET","0.050000","40","3","1","1","1.500000","0.200000","2","30","5","1","False","1","0.020000","0.070000","1","assets/data/fx/pyros/pyro_null.json","10"
"b_12ga_slug.json","EXPLOSIVE_BULLET","0.050000","45","16","4","1","0.660000","0.750000","5","600","40","2","False","1","0","0.100000","25","","10"
"b_132mm_he.json","EXPLOSIVE_BULLET","0.300000","25","7","4","1","1","1","30","0","20","1","False","0","0","0","20","assets/data/fx/squibs/pyro_exp_medium_02.json","0"
"b_132mm_tubarao.json","EXPLOSIVE_BULLET","0.300000","20","0","5","1","1","1","0","0","10","1","False","0","0","0","0","","0"
"b_15mm_esd.json","EXPLOSIVE_BULLET","0.250000","40","12","0","0.600000","2","0.100000","0","0","20","1","False","0","0","0","0","","0"
"b_20mm_aphe-t-auto.json","EXPLOSIVE_BULLET","0.170000","100","12","2","1","1","3","6","200","160","4","False","0","0","0","100","assets/data/fx/squibs/pyro_radius_xsmall.json","0"
"b_20mm_aphe-t.json","EXPLOSIVE_BULLET","0.170000","100","50","20","1","1","3","6","2000","160","4","False","0","0","0","100","assets/data/fx/squibs/pyro_radius_xsmall.json","0"
"b_20mm_pellet.json","EXPLOSIVE_BULLET","0.250000","60","333","33","1","1.330000","0.600000","5","30","20","2","False","1","0","5","35","","10"
"b_20mm_pellet_split.json","EXPLOSIVE_BULLET","0.100000","60","6","0","1","1.330000","0.400000","5","0","8","2","False","0","0","0","0","","10"
"b_20mm_pellet_split_02.json","EXPLOSIVE_BULLET","0.050000","90","8","4","1","1","1","5","0","8","2","False","0","0.015000","0.250000","0","","10"
"b_22lr_fmj.json","EXPLOSIVE_BULLET","0.050000","55","2","0.750000","1","1","0.200000","3","5","5","1","False","0","0","0","1","","10"
"b_25mm_hei-t.json","EXPLOSIVE_BULLET","0.080000","100","80","25","1","1","10","30","2500","75","3","False","0","30","12","0","assets/data/fx/pyros/pyro_exp_bushmaster.json","10"
"b_25mm_hei-t_bh.json","EXPLOSIVE_BULLET","0.080000","100","60","20","1","1","15","30","5000","75","3","False","0","30","12","0","assets/data/fx/pyros/pyro_exp_bushmaster.json","10"
"b_27mm_ap.json","EXPLOSIVE_BULLET","0.050000","110","33","2","1.500000","0.400000","1.800000","9","100","400","3","False","0","0","0","20","","0"
"b_305mm_fae.json","EXPLOSIVE_BULLET","0.200000","20","90","5","1","1","1","40","0","100","4","False","0","0","0","100","assets/data/fx/squibs/pyro_radius_large.json","0"
"b_305mm_fae_split_01.json","EXPLOSIVE_BULLET","0.300000","40","90","4","1","1","1","40","0","20","3","False","0","0","0","0","assets/data/fx/squibs/pyro_radius_large.json","0"
"b_30mm_aphe-t.json","EXPLOSIVE_BULLET","0.500000","90","7","1","1.330000","1","1","8","0","80","5","False","0","0","0","0","","0"
"b_357mag.json","EXPLOSIVE_BULLET","0.050000","60","8","3","1","1","0.200000","5","35","10","2","False","0","0.035000","0.100000","8","","10"
"b_37mm_ap_rocket.json","EXPLOSIVE_BULLET","0.300000","16","60","5","1","0.750000","0.660000","15","0","120","4","False","0","0","0","0","assets/data/fx/squibs/pyro_radius_small.json","0"
"b_37mm_ap_rocket_split_01.json","EXPLOSIVE_BULLET","0.300000","65","60","5","1","0.750000","0.660000","15","0","120","4","False","0","0","0","0","assets/data/fx/squibs/pyro_radius_small.json","0"
"b_37mm_beanbag.json","EXPLOSIVE_BULLET","0.200000","18","1","0.750000","1","1","1","1","60","2","1","False","0","0","0","300","","10"
"b_37mm_he.json","EXPLOSIVE_BULLET","0.200000","90","55","4","1.250000","0.850000","3","15","0","70","4","False","0","0","0","100","assets/data/fx/pyros/pyro_exp_37mm_he.json","0"
"b_40mm_he.json","EXPLOSIVE_BULLET","0.100000","24","18","10","1","1","1","18","50","5","2","False","30","0.250000","10","100","assets/data/fx/pyros/pyro_exp_40mm_he.json","10"
"b_40mm_hedp.json","EXPLOSIVE_BULLET","0.800000","100","88","6","1.330000","0.660000","4","25","4000","700","5","False","0","0","0","100","","0"
"b_44mm_beehive.json","EXPLOSIVE_BULLET","0.250000","70","160","40","1","1.500000","0.250000","6","200","800","4","False","0","0","0","10","","0"
"b_44mm_beehive_split.json","EXPLOSIVE_BULLET","0.150000","70","16","8","1","1","0.250000","6","10","800","3","False","0","0","0","10","","0"
"b_45acp_fmj.json","EXPLOSIVE_BULLET","0.050000","40","6","2","1","1","0.200000","3","25","10","1","False","0","0.020000","0.350000","3.500000","","10"
"b_45acp_fragmenting.json","EXPLOSIVE_BULLET","0.050000","35","11","4","1","0.400000","0.200000","3","25","5","1","False","0","0","0.200000","3.500000","","10"
"b_4ga_pellet.json","EXPLOSIVE_BULLET","0.050000","40","85","15","1","1.500000","0.200000","5","1000","20","2","False","0","0","0","45","","10"
"b_4ga_pellet_narrow.json","EXPLOSIVE_BULLET","0.050000","40","85","15","1","1.500000","0.200000","5","1000","20","2","False","0","0","0","45","assets/data/fx/pyros/pyro_null.json","10"
"b_4ga_pellet_split.json","EXPLOSIVE_BULLET","0.050000","40","5","3","1","1.500000","0.200000","2","35","5","1","False","0","0.010000","0.070000","0","assets/data/fx/pyros/pyro_null.json","10"
"b_50bmg-cut_fmj.json","EXPLOSIVE_BULLET","0.100000","80","35","15","1","1","0.450000","6","250","40","3","False","0","0.100000","0.550000","40","","10"
"b_50bmg_fmj.json","EXPLOSIVE_BULLET","0.100000","95","30","10","1","1","0.450000","6","400","60","3","False","0","0.100000","0.550000","60","","10"
"b_50mm_he.json","EXPLOSIVE_BULLET","0.600000","15","40","0","1","1","2","12","0","60","4","False","0","0","0","0","","0"
"b_51_rocket.json","EXPLOSIVE_BULLET","0.050000","45","35","15","1","1","1","1","0","60","3","False","0","0.100000","0.550000","0","","10"
"b_51_rocket_split_01.json","EXPLOSIVE_BULLET","0.050000","95","35","15","1","1","1","1","0","60","3","False","0","0.100000","0.550000","0","","10"
"b_51_rocket_split_02.json","EXPLOSIVE_BULLET","0.050000","25","35","15","1","1","1","1","0","60","3","False","0","0.100000","0.550000","0","","10"
"b_51_rocket_split_03.json","EXPLOSIVE_BULLET","0.050000","35","35","15","1","1","1","1","0","60","3","False","0","0.100000","0.550000","0","","10"
"b_51_rocket_split_04.json","EXPLOSIVE_BULLET","0.050000","55","35","15","1","1","1","1","0","60","3","False","0","0.100000","0.550000","0","","10"
"b_51_rocket_split_05.json","EXPLOSIVE_BULLET","0.050000","75","35","15","1","1","1","1","0","60","3","False","0","0.100000","0.550000","0","","10"
"b_51_rocket_split_06.json","EXPLOSIVE_BULLET","0.050000","115","35","15","1","1","1","1","0","60","3","False","0","0.100000","0.550000","0","","10"
"b_556_fmj.json","EXPLOSIVE_BULLET","0.050000","95","6","3","1","1","0.200000","5","18","15","2","False","0","0.050000","0.250000","2.750000","","10"
"b_57mm_he_rocket.json","EXPLOSIVE_BULLET","0.300000","52","30","2","1","1","3","22","0","5","2","False","0","0","0","0","assets/data/fx/pyros/pyro_exp_57mmr.json","0"
"b_60mm_he.json","EXPLOSIVE_BULLET","0.650000","18","60","0","1","1","2","15","0","100","4","False","0","0","0","0","","0"
