"archetype","sprite","mounts","description","ui_texture","aim_bloom_penalty","camera_offset_bonus","cooldown","cooldown_deviation_max","burst_cooldown","per_click_cooldown","range","min_elevation","accuracy_cone_width","firing_aggro_radius","pickup_reload_percentage","muzzle_velocity","ammo_capacity","burst_count","shot_count","ammo_per_depot_replenish","weapon_effects","ammo_item","inventory_texture","firing_event","name","max_accuracy_cone_width","min_accuracy_cone_width","bloom_cone_width","bloom_per_firing","bloom_per_burst","bloom_growth_rate","bloom_decay_rate","recoil_impulse","fire_suppression","ui_texture_blends","ammo_type","fire_mode","engagement_distance","cycling_sound_duration","cycling_sound","empty_sound_duration","empty_sound","price","use_looping_sound","looping_firing_sound","looping_firing_stop_sound","secret","suppressed","hot_loads","terror_damage","morale_damage","firing_morale_damage","spool_time","spool_decay","spool_decay_delay","instability","ammo_pool","vehicle_ammo_pool","auto_reload","reloadable_on_foot","refuse_mag_multiply","reload_time","reload_arm_in_time","reload_arm_out_time","reload_cancel_ready_delay","swap_time","reload_begin_sound","reload_mid_sound","reload_ammo_in_sound","reload_finished_sound","failed_reload_sound","cold_reload_finished_sound","pickup_sound","drop_sound","spooling_event","spooling_event_stop","size","pickup_radius","reload_animation","shoot_animation","no_soft_aimlock","reload_class","flags","category","bullet","delay_distance","low_arc","filename"
"ARTILLERY_WEAPON","assets/pickups/weapons/gun_pinch.json","System.Object[]","gun_100mm_pinch.description","assets/ui/inventory/render/inv_gun_pinch.png","1","10","0.500000","0.500000","0","0.200000","50","-49.999992","1.000000","0","0.120000","-1","1","1","1","4","assets/data/fx/wfx_100mm_chaff_pinch.json","assets/data/pickups/ammo/pkp_ammo_100mm_chaff.json","assets/ui/inventory/render/inv_gun_pinch.png","@{override=False; is_set=True; guid=}","gun_100mm_pinch.name","90","0.500000","12","1","0","0","0.350000","50","0.300000","System.Object[]","AMMOTYPE_ARTILLERY","SEMI-AUTO","14","0.500000","@{override=False; is_set=False; guid=}","0.500000","@{override=False; is_set=True; guid=}","0","False","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","False","False","False","0","0","0","0","0","0","0.500000","5","30","False","True","False","4.500000","0.100000","0.900000","1","0.800000","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","27","1","","","False","MAGAZINE","3","WEAPON","assets/data/pickups/weapons/bullets/b_100mm_chaff.json","1","True","gun_100mm_pinch.json"
"ARTILLERY_WEAPON","assets/pickups/weapons/temp_main.json","System.Object[]","gun_105mm_abbot.description","assets/ui/hud/HUD_main_can_01.png","0","6","0.250000","0","0","1","100","-45","0.500000","0","0.120000","100","1","1","1","4","assets/data/fx/wfx_main_cannon_abbot_01.json","assets/data/pickups/ammo/pkp_ammo_105mm_heat.json","assets/ui/hud/HUD_main_can_01.png","@{override=False; is_set=True; guid=}","gun_105mm_abbot.name","60","0.500000","0","0","0","0","0","100000","0.350000","System.Object[]","AMMOTYPE_BULLET","BURST/AUTO","50","0.500000","@{override=False; is_set=True; guid=}","0.500000","@{override=False; is_set=True; guid=}","0","False","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","False","False","False","0","0","0","0","0","0","0","250","500","True","True","False","3.250000","0.100000","0.900000","1","1","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","255","1","","","False","MAGAZINE","3","WEAPON","assets/data/pickups/weapons/bullets/b_105mm_heat.json","1","True","gun_105mm_abbot.json"
"ARTILLERY_WEAPON","assets/pickups/weapons/temp_aux.json","System.Object[]","gun_120mm_metronome.description","assets/ui/hud/HUD_aux_arty_01.png","1","14","1","0","0","1","100","-45","1.200000","16","0.120000","-1","1","1","1","4","assets/data/fx/wfx_arty_aux_01.json","assets/data/pickups/ammo/pkp_ammo_120mm_he.json","assets/ui/hud/HUD_aux_arty_01.png","@{override=False; is_set=True; guid=}","gun_120mm_metronome.name","45","0.600000","24.999996","1","0","0","0.700000","60","0","System.Object[]","AMMOTYPE_BULLET","BURST/AUTO","25","0.500000","@{override=False; is_set=True; guid=}","0.500000","@{override=False; is_set=True; guid=}","0","False","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","False","False","False","0","0","0","0","0","0","8","75","500","False","True","False","6","0.100000","0.900000","1","0.500000","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","90","1","","","False","MAGAZINE","3","WEAPON","assets/data/pickups/weapons/bullets/b_120mm_he.json","1","False","gun_120mm_metronome.json"
"ARTILLERY_WEAPON","assets/pickups/weapons/gun_buttonhole.json","System.Object[]","gun_12ga_buttonhole.description","assets/ui/inventory/render/inv_gun_buttonhole.png","1","0","0.450000","0","0","0.150000","40","-49.999962","1.500000","2","0.120000","-1","1","1","1","4","assets/data/fx/wfx_12ga_buttonhole.json","","assets/ui/inventory/render/inv_gun_buttonhole.png","@{override=False; is_set=True; guid=}","gun_12ga_buttonhole.name","45","1.500000","8.000000","0","1","0","0.850000","0","0.250000","System.Object[]","AMMOTYPE_BULLET","SEMI-AUTO","-1","0.320000","@{override=False; is_set=False; guid=}","0.500000","@{override=False; is_set=True; guid=}","0","False","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","False","False","False","0","0","0","0","0","0","0","1","1","True","True","True","0.650000","0.250000","0.350000","1","0.330000","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","3","1","","idle","False","MAGAZINE","3","WEAPON","assets/data/pickups/weapons/bullets/b_12ga_pellet.json","1","True","gun_12ga_buttonhole.json"
"ARTILLERY_WEAPON","assets/pickups/weapons/gun_drummer.json","System.Object[]","gun_12ga_drummer.description","assets/ui/inventory/render/inv_gun_drummer.png","0.200000","0","0.200000","0.025000","0","1","40","-49.999958","0.850000","17","0.120000","-1","20","1","1","4","assets/data/fx/wfx_12ga_tet.json","assets/data/pickups/ammo/pkp_ammo_12ga_pellet.json","assets/ui/inventory/render/inv_gun_drummer.png","@{override=False; is_set=True; guid=}","gun_12ga_drummer.name","45","0.850000","13.999998","0.400000","0","0","1.800000","0","0.500000","System.Object[]","AMMOTYPE_BULLET","BURST/AUTO","8","0.500000","@{override=False; is_set=False; guid=}","0.500000","@{override=False; is_set=True; guid=}","0","False","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","False","False","False","0","0","0","0","0","0","1","40","0","False","True","False","4.500000","0.100000","0.900000","1","0.660000","@{override=False; is_set=True; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","17","1","","","False","MAGAZINE","3","WEAPON","assets/data/pickups/weapons/bullets/b_12ga_pellet.json","1","True","gun_12ga_drummer.json"
"ARTILLERY_WEAPON","assets/pickups/weapons/gun_oremor.json","System.Object[]","gun_12ga_oremor.description","assets/ui/inventory/render/inv_gun_oremor.png","0.200000","0","0.300000","0","0","0.050000","40","0","0.900000","10","0.120000","-1","2","1","1","4","assets/data/fx/wfx_12ga_oremor.json","assets/data/pickups/ammo/pkp_ammo_12ga_pellet.json","assets/ui/inventory/render/inv_gun_oremor.png","@{override=False; is_set=True; guid=}","gun_12ga_oremor.name","45","0.900000","6.999999","0","0.550000","0","1","7","0.300000","System.Object[]","AMMOTYPE_BULLET","SEMI-AUTO","3","0.320000","@{override=False; is_set=False; guid=}","0.500000","@{override=False; is_set=True; guid=}","0","False","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","False","False","False","0","0","0","0","0","0","0","2","0","False","True","True","1.150000","0.150000","0.900000","0.650000","0.150000","@{override=False; is_set=False; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","5","1","","","False","SINGLE_ROUND","1","WEAPON","assets/data/pickups/weapons/bullets/b_12ga_pellet_short.json","1","True","gun_12ga_oremor.json"
"ARTILLERY_WEAPON","assets/pickups/weapons/gun_southy.json","System.Object[]","gun_12ga_southy.description","assets/ui/inventory/render/inv_gun_southy.png","0.200000","0","0.250000","0","0","0.020000","40","0","0.900000","10","0.120000","60","2","1","1","4","assets/data/fx/wfx_12ga_southy.json","assets/data/pickups/ammo/pkp_ammo_12ga_pellet.json","assets/ui/inventory/render/inv_gun_southy.png","@{override=False; is_set=True; guid=}","gun_12ga_southy.name","45","0.200000","6.999999","0","0.750000","0","1.800000","11","0.300000","System.Object[]","AMMOTYPE_BULLET","SEMI-AUTO","8","0.320000","@{override=False; is_set=False; guid=}","0.500000","@{override=False; is_set=True; guid=}","0","False","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","False","False","False","0","0","0","0","0","0","0","2","0","False","True","True","1.350000","0.150000","0.900000","0.650000","0.150000","@{override=False; is_set=False; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","11","1","","","False","SINGLE_ROUND","1","WEAPON","assets/data/pickups/weapons/bullets/b_12ga_pellet_narrow.json","1","True","gun_12ga_southy.json"
"ARTILLERY_WEAPON","assets/pickups/weapons/gun_stretch.json","System.Object[]","gun_12ga_stretch.description","assets/ui/inventory/render/inv_gun_stretch.png","0.500000","0","1.800000","0.600000","0","1.400000","40","-49.999992","0.800000","14","0.120000","80","3","1","1","4","assets/data/fx/wfx_12ga_tet.json","assets/data/pickups/ammo/pkp_ammo_12ga_pellet.json","assets/ui/inventory/render/inv_gun_stretch.png","@{override=False; is_set=True; guid=}","gun_12ga_stretch.name","45","0.800000","10.999999","0.650000","0","0","0.600000","0","0.400000","System.Object[]","AMMOTYPE_BULLET","SEMI-AUTO","12","0.320000","@{override=False; is_set=True; guid=}","0.500000","@{override=False; is_set=True; guid=}","0","False","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","False","False","True","0","0","0","0","0","0","0.500000","15","0","False","True","True","4","0.150000","0.550000","0.250000","0.330000","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","10","1","","","False","MAGAZINE","3","WEAPON","assets/data/pickups/weapons/bullets/b_12ga_slug.json","1","True","gun_12ga_stretch.json"
"ARTILLERY_WEAPON","assets/pickups/weapons/gun_tet.json","System.Object[]","gun_12ga_tet.description","assets/ui/inventory/render/inv_gun_tet.png","0","0","0.600000","0.600000","0","0.400000","40","-49.999992","0.850000","11","0.120000","60","6","1","1","4","assets/data/fx/wfx_12ga_tet.json","assets/data/pickups/ammo/pkp_ammo_12ga_pellet.json","assets/ui/inventory/render/inv_gun_tet.png","@{override=False; is_set=True; guid=}","gun_12ga_tet.name","45","0.850000","4.239998","0.650000","0","0","0.825000","0","0.600000","System.Object[]","AMMOTYPE_BULLET","SEMI-AUTO","9.500000","0.320000","@{override=False; is_set=True; guid=}","0.500000","@{override=False; is_set=True; guid=}","0","False","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","False","False","False","0","0","0","0","0","0","-1","15","0","False","True","True","0.800000","0.150000","0.550000","0.250000","0.330000","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","11","1","","","False","SINGLE_ROUND","3","WEAPON","assets/data/pickups/weapons/bullets/b_12ga_pellet.json","1","True","gun_12ga_tet.json"
"LASER_WEAPON","assets/pickups/weapons/temp_aux.json","System.Object[]","gun_12mm_galinha.description","assets/ui/hud/HUD_aux_laser_02.png","0.500000","12","0.340000","0","0","0.300000","60","-49.999958","0","0","0.120000","-1","8","1","1","1","assets/data/fx/wfx_laser_aux_02.json","assets/data/pickups/ammo/pkp_ammo_12mm_rail.json","assets/ui/hud/HUD_aux_laser_02.png","@{override=False; is_set=True; guid=}","gun_12mm_galinha.name","2.000000","0","3","0.800000","0","0","2","1","0","System.Object[]","AMMOTYPE_LASER","SEMI-AUTO","-1","0.399000","@{override=False; is_set=False; guid=}","0.500000","@{override=False; is_set=True; guid=}","2000000","False","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","False","False","False","0","0","0","0","0","0","0","20","20","True","True","False","2","0.100000","0.350000","1","0","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=True; guid=}","@{override=False; is_set=False; guid=}","@{override=False; is_set=False; guid=}","125","1","","","False","MAGAZINE","3","WEAPON",,,,"gun_12mm_galinha.json"
