         683132 function calls (683126 primitive calls) in 52.499 seconds

   Ordered by: cumulative time
   List reduced from 202 to 61 due to restriction <0.3>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   51.766   51.766 C:\Users\16413\Documents\GitHub\TheArtifact\Mechanism\Entity.py:319(start)
        1    1.424    1.424   51.766   51.766 C:\Users\16413\Documents\GitHub\TheArtifact\Engine\Core.py:62(engine_run)
     2136    1.852    0.001   28.634    0.013 C:\Users\16413\Documents\GitHub\TheArtifact\Engine\Renderer.py:13(render_frame)
     2136   22.937    0.011   22.937    0.011 {built-in method pygame.display.flip}
     2135   20.713    0.010   20.713    0.010 {method 'tick' of 'pygame.time.Clock' objects}
   125677    3.305    0.000    3.305    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
     2136    0.120    0.000    0.899    0.000 C:\Users\16413\Documents\GitHub\TheArtifact\Engine\Controller.py:13(handle_events)
     2136    0.765    0.000    0.765    0.000 {built-in method pygame.event.get}
     2136    0.396    0.000    0.396    0.000 {method 'fill' of 'pygame.surface.Surface' objects}
        1    0.332    0.332    0.340    0.340 {built-in method pygame.base.init}
        1    0.000    0.000    0.296    0.296 C:\Users\16413\Documents\GitHub\TheArtifact\Engine\Core.py:12(__init__)
        1    0.000    0.000    0.296    0.296 C:\Users\16413\Documents\GitHub\TheArtifact\Engine\Renderer.py:5(__init__)
        1    0.293    0.293    0.296    0.296 {built-in method pygame.display.set_mode}
        6    0.001    0.000    0.095    0.016 C:\Users\16413\Documents\GitHub\TheArtifact\Engine\UI.py:64(precache_surfaces)
        1    0.090    0.090    0.090    0.090 {built-in method pygame.base.quit}
        6    0.089    0.015    0.089    0.015 {built-in method pygame.image.load}
   251360    0.067    0.000    0.067    0.000 {built-in method builtins.round}
   125679    0.028    0.000    0.028    0.000 {method 'get_width' of 'pygame.surface.Surface' objects}
     4272    0.018    0.000    0.018    0.000 {method 'copy' of 'dict' objects}
   125679    0.016    0.000    0.016    0.000 {method 'get_height' of 'pygame.surface.Surface' objects}
      616    0.004    0.000    0.009    0.000 C:\Users\16413\Documents\GitHub\TheArtifact\Engine\Core.py:56(remove_routine)
      2/1    0.000    0.000    0.007    0.007 <frozen importlib._bootstrap>:1165(_find_and_load)
      2/1    0.000    0.000    0.007    0.007 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
      2/1    0.000    0.000    0.006    0.006 <frozen importlib._bootstrap>:666(_load_unlocked)
        1    0.000    0.000    0.006    0.006 <frozen importlib._bootstrap_external>:934(exec_module)
     2136    0.005    0.000    0.006    0.000 C:\Users\16413\Documents\GitHub\TheArtifact\Engine\Core.py:78(get_recent_input)
      5/2    0.000    0.000    0.005    0.003 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.001    0.001    0.005    0.005 {built-in method builtins.exec}
    21360    0.005    0.000    0.005    0.000 {method 'items' of 'dict' objects}
